index,CityST,AirportDist,pop,lon,lat,BaseDist,count,per_capita,sqrt_airport,sqrt_base,sqrt_per_capita,cubert_per_capita,log_airport,log_base,log_per_capita
0,"Surfside Beach, SC",9.18746679641,3898.89473684,-78.9732753263,33.6063700947,7.5122321515,38,0.0097463518676,3.03108343607,2.74084515278,0.0987236135258,0.213606285933,2.21784025054,2.01653264552,-4.63086223142
1,"Shallotte, NC",12.2659882867,3675.0,-78.3270253156,33.9266778531,31.6888309498,32,0.0087074829932,3.50228329618,5.62928334247,0.0933138949632,0.205729961572,2.50683025226,3.45596428283,-4.74357250885
2,"Myrtle Beach, SC",3.95932372276,26351.03125,-78.8910137799,33.6952582634,5.8200152088,224,0.0085006160812,1.98980494591,2.41247076849,0.0921987856818,0.204087685626,1.3760732336,1.76130287494,-4.76761663797
3,"Mount Vernon, KY",9.59575868918,2597.63636364,-84.4995866818,38.0397508364,45.9126589434,22,0.0084692377686,3.09770216276,6.7758880557,0.0920284617311,0.20383625981,2.26132119764,3.82674087302,-4.77131476627
4,"North Myrtle Beach, SC",4.08587777608,13528.7678571,-78.6788575241,33.8227485571,29.3892712044,112,0.00827865487698,2.02135543042,5.42118725045,0.0909871137963,0.202295672591,1.40753658309,3.38062968272,-4.79407477825
5,"Sunset Beach, NC",1.82568576386,3572.0,-78.4502744828,33.8905844586,43.1279730532,29,0.00811870100784,1.35117939736,6.56718912878,0.0901038345901,0.200984322662,0.601955677473,3.76417181334,-4.81358511201
6,"Nags Head, NC",8.09612760569,2748.0,-75.6188869632,35.9465791789,34.0810135008,19,0.00691411935953,2.84536950249,5.837894612,0.0831511837531,0.190507593422,2.09138587399,3.52874044039,-4.97418967418
7,"Lawrenceburg, IN",16.7287854292,4847.34375,-84.8529215406,39.0924261875,50.2390062548,32,0.00660155368597,4.09008379244,7.08794795796,0.0812499457598,0.187592463418,2.81713091399,3.916791742,-5.02045025069
8,"Live Oak, CA",40.0378130851,7569.10204082,-121.995726714,37.0028345247,45.4347059919,49,0.0064736873325,6.32754400104,6.74052713012,0.0804592277647,0.186373390794,3.6898243347,3.81627626217,-5.04000942052
9,"Cumming, GA",28.4170922818,5323.23529412,-84.1399976529,34.2081428176,47.0930503525,34,0.00638709320957,5.33076845134,6.86243763924,0.0799192918485,0.185538660987,3.34699080504,3.85212543923,-5.05347601087
10,"Johnson, AR",12.3619429128,3354.0,-94.2098667223,36.111508,80.0427028474,21,0.00626118067979,3.51595547651,8.94665875327,0.0791276227356,0.184311349437,2.51462263327,4.38256027785,-5.07338650466
11,"Apache Junction, AZ",13.44957584,33533.4019139,-111.571716888,33.4279795742,41.3678813864,209,0.0062325916272,3.66736633567,6.43178679578,0.0789467645138,0.184030394585,2.59894756949,3.72250476781,-5.07796304116
12,"Estacada, OR",45.211310166,2456.66666667,-122.258694147,45.1951171667,55.4117689057,15,0.00610583446404,6.72393561584,7.44390817419,0.0781398391606,0.182774249222,3.81134728045,4.01479200631,-5.09851049541
13,"Louisburg, NC",44.981391902,3302.0,-78.28991445,36.10094945,89.7617212313,20,0.00605693519079,6.70681682335,9.47426626348,0.0778263142568,0.182285018045,3.80624889096,4.49715861752,-5.10655135093
14,"Fenton, MO",23.8276162699,4064.25,-90.4401794,38.5132838,26.0947316289,24,0.00590514855139,4.88135393819,5.10830026808,0.0768449643854,0.18074943251,3.17084525547,3.26173344065,-5.13193067277
15,"Sonora, CA",44.5866638613,4636.33333333,-120.3821381,37.9840911,55.7398966368,27,0.0058235674743,6.67732460356,7.46591565964,0.0763123022474,0.179913203774,3.79743479775,4.02069616767,-5.14584223693
16,"Port Richey, FL",33.048547135,2707.8,-82.7195451,28.2716755,52.1956985174,15,0.00553955240417,5.74878657936,7.2246590589,0.0744281694264,0.17693953912,3.49797760572,3.95500008761,-5.19584157496
17,"Lisbon, OH",22.4427381954,2803.4,-80.76263086,40.7731237067,52.9572827954,15,0.00535064564457,4.73737672087,7.27717546823,0.0731481075939,0.174904934975,3.11096709618,3.96948560358,-5.23053804413
18,"Orchard Park, NY",15.4935422442,3254.47058824,-78.7442216621,42.7619115,40.9837839261,17,0.00522358384846,3.93618371576,6.40185784957,0.0722743650852,0.17350933959,2.7404233077,3.71317647447,-5.25457155165
19,"Myrtle Point, OR",86.1714341451,2477.25,-124.006110192,42.8154971583,191.057782407,12,0.00484408113836,9.28285700337,13.8223652971,0.0695994334629,0.16920134189,4.45633873232,5.25257590799,-5.32999770315
20,"Thermopolis, WY",73.2866925677,3135.4,-107.65433588,43.2334984667,253.101024658,15,0.00478407858646,8.56076471863,15.9091490865,0.0691670339574,0.168499817573,4.2943790449,5.53378871597,-5.34246183553
21,"Black River Falls, WI",45.9831419979,3602.94117647,-90.8301090118,44.3219894588,34.3914979648,17,0.00471836734694,6.78108708084,5.86442648217,0.0686903730296,0.167724787342,3.82827485101,3.53780938165,-5.35629244029
22,"Willits, CA",66.1933493624,4934.2173913,-123.35003743,39.388024313,173.008930204,23,0.00466132684801,8.13592953278,13.153285909,0.0682739104491,0.167046168501,4.19257999509,5.15334321284,-5.36845514004
23,"Holts Summit, MO",6.19646377988,3247.0,-92.1224055,38.640315,96.7103276858,15,0.00461964890668,2.48926972823,9.83414092261,0.067967999137,0.166546811821,1.82397877125,4.57172019806,-5.377436571
24,"Gig Harbor, WA",6.49397326336,6538.7,-122.5878659,47.3259697,22.8992597657,30,0.00458806796458,2.5483275424,4.7853171019,0.067735278582,0.166166426748,1.87087455654,3.1311045854,-5.38429626627
25,"Wolf Point, MT",4.88789894915,2628.0,-105.56684965,48.0943236833,320.716436224,12,0.00456621004566,2.21085932369,17.9085576254,0.0675737378399,0.165902129923,1.5867625484,5.77055735647,-5.38907172982
26,"Coleman, TX",52.5625452721,5372.33333333,-99.485887675,31.8254238083,73.8971047612,24,0.00446733263014,7.25000312221,8.59634252233,0.0668381076194,0.16469589078,3.96200379903,4.3026736494,-5.41096377551
27,"Ocean City, MD",37.0811302816,6996.41935484,-75.0851853,38.335242,95.2186100674,31,0.00443083789404,6.08942774664,9.75800236049,0.0665645393136,0.164246183581,3.61310822248,4.55617540659,-5.41916657194
28,"Emerald Isle, NC",25.600839976,3644.5625,-76.9507762,34.6779399,25.5942925137,16,0.00439010169259,5.05972726301,5.05908020432,0.0662578424988,0.163741284684,3.24262516251,3.24236937795,-5.42840288756
29,"Frostproof, FL",19.4682579226,2970.07692308,-81.4691102538,27.7559279231,25.9467964419,13,0.00437699101292,4.41228488684,5.09379980387,0.0661588317077,0.163578122167,2.96878534042,3.25604815081,-5.43139377403
30,"Melbourne Beach, FL",9.16779233905,3218.0,-80.5603303,28.0683496,20.2706641419,14,0.00435052827843,3.02783624707,4.50229543032,0.0659585345383,0.163247798019,2.21569650909,3.0091747247,-5.43745799794
31,"Goldendale, WA",21.327820694,3477.6,-120.8201197,45.79395718,89.5756739943,15,0.00431331953071,4.61820535425,9.46444261403,0.0656758671866,0.162781061908,3.06001235633,4.49508378752,-5.44604747857
32,"Jackson, OH",40.1473609151,6355.96296296,-82.6315174777,39.0352294333,88.8425008446,27,0.00424797944188,6.33619451367,9.42562999723,0.0651765252363,0.161954916097,3.6925567076,4.48686514861,-5.46131183454
33,"Johnstown, OH",29.6066860002,4256.66666667,-82.6582485505,40.186726075,31.398258359,18,0.00422866092404,5.44120262444,5.60341488371,0.0650281548565,0.161709035765,3.38800021421,3.4467524251,-5.46586990246
34,"Winchester, TN",19.5549192086,8050.96875,-86.108910975,35.1702517,24.9864008259,32,0.00397467696046,4.42209443687,4.9986398976,0.0630450391423,0.158404413973,2.9732268767,3.2183317099,-5.52781180199
35,"Grangeville, ID",84.9299962703,3297.69230769,-116.195522654,45.6704433769,217.011147463,13,0.00394215068813,9.21574719002,14.7312982273,0.0627865486241,0.157971135679,4.44182734388,5.37994872302,-5.53602884467
36,"Wasilla, AK",18.533498772,7221.92857143,-149.4380985,61.5828234,37.5803620923,28,0.00387708071647,4.30505502543,6.13028238275,0.0622662084639,0.157097140804,2.9195798391,3.62648162918,-5.5526728012
37,"Blackshear, GA",23.2818749266,3379.61538462,-82.1490170385,31.4197418615,54.5567938839,13,0.00384659155571,4.82512952433,7.38625709571,0.0620208961214,0.156684255358,3.1476751577,3.99924224868,-5.56056783301
38,"Doylestown, PA",12.3420213015,8332.1875,-75.1179753965,40.3014300219,11.6141948591,32,0.00384052807261,3.51312130469,3.40796051314,0.0619719942604,0.156601883562,2.51300980583,2.45222804476,-5.56214540293
39,"Whitehall, NY",32.2740262492,2624.6,-73.5465511124,43.62775955,64.8160740957,10,0.00381010439686,5.68102334524,8.05084306739,0.0617260431006,0.156187266848,3.47426276584,4.17155362963,-5.57009868947
40,"Stanwood, WA",25.5731133258,5307.8,-122.34953354,48.2452535,21.7791001817,20,0.00376803948905,5.05698658549,4.66680835065,0.0613843586678,0.15561035083,3.24154153886,3.08095080268,-5.58120044221
41,"Tipton, IA",32.4651162774,3196.16666667,-91.1584904,41.6739117,54.51340772,12,0.00375449757522,5.69781679921,7.38331955966,0.0612739551132,0.155423711647,3.48016616758,3.99844668462,-5.58480080426
42,"Lakehurst, NJ",6.39918703079,2665.2,-74.39517152,40.06613774,10.3963234894,10,0.003752063635,2.52966144588,3.22433303016,0.0612540907613,0.155390118711,1.85617095586,2.34145223301,-5.58544928769
43,"Oregon, OH",26.5682794425,19699.2328767,-83.5101466616,41.6763489685,26.3735634546,73,0.00370572805839,5.15444268981,5.13551978427,0.0608746914439,0.154747811319,3.27971800203,3.27236212414,-5.59787553255
44,"Aberdeen, MS",27.3541655721,5690.14285714,-88.4747009,33.8884929,29.3235500836,21,0.00369059275439,5.2301209902,5.41512235167,0.0607502490068,0.154536845028,3.30886882338,3.3783909503,-5.60196819579
45,"Clinton, NJ",20.2586494228,2710.3,-74.92955708,40.61487956,45.8709499119,10,0.00368962845441,4.50096094438,6.77280960251,0.0607423118955,0.154523384421,3.00858183435,3.82583201718,-5.60222951586
46,"Colville, WA",62.0041380687,4612.64705882,-117.853414141,48.5664204412,105.606645063,17,0.00368551935216,7.87427063725,10.2765093813,0.0607084784208,0.154465999398,4.12720112586,4.65972129603,-5.60334382646
47,"Ely, MN",27.7568208997,3803.71428571,-91.5349275469,47.9864826214,136.55218858,14,0.00368061293473,5.2684742478,11.6855546971,0.0606680553069,0.154397423696,3.32348160818,4.91670687547,-5.60467598232
48,"Cape May, NJ",6.10558741737,3804.78571429,-74.9060053,38.9351125,54.7242825016,14,0.00367957647324,2.47094868773,7.39758626186,0.060659512636,0.154382929551,1.809204322,4.00230753234,-5.60495762222
49,"Jefferson, OH",14.5079995375,3294.33333333,-80.74947,41.7167229,51.4038725049,12,0.00364261863807,3.80893679883,7.16964939902,0.060354110366,0.153864312907,2.67470018954,3.93971351019,-5.61505244992
50,"Mount Shasta, CA",89.0648904943,3310.33333333,-122.3105666,41.3098746,105.855572392,12,0.00362501258685,9.43741969472,10.2886137255,0.060208077422,0.153616019081,4.48936521074,4.66207564043,-5.61989751845
51,"Katy, TX",15.0824179511,13068.4255319,-95.8250055532,29.7848224979,66.5697683472,47,0.00359645466741,3.88360888235,8.15902986557,0.0599704482842,0.153211558439,2.71352969131,4.19825054577,-5.62780673338
52,"Flemingsburg, KY",55.3604607523,2781.3,-83.71577788,38.37654204,91.0487814224,10,0.00359544098084,7.44046105777,9.54194851287,0.0599619961379,0.153197162494,4.01386563411,4.51139542247,-5.62808863029
53,"Lincoln City, OR",42.1284800397,7841.96428571,-124.0178914,44.9581644,128.788360348,28,0.00357053398611,6.49064557958,11.3484959509,0.0597539453602,0.152842590699,3.74072399748,4.85817043962,-5.63504011843
54,"Dawsonville, GA",30.3429125642,2536.0,-84.1190804,34.4212052,66.7754028364,9,0.00354889589905,5.50844012078,8.17162179964,0.0595726103092,0.152533213571,3.41256296681,4.20133479172,-5.64111873822
55,"Lake Placid, NY",2.19927867548,2573.0,-73.9788217222,44.2969603444,67.3819466208,9,0.00349786241741,1.48299651904,8.20865071865,0.0591427292016,0.151798532967,0.78812943182,4.21037712775,-5.65560323495
56,"Alturas, CA",75.8781276031,2859.5,-120.42841158,41.50480088,123.854996751,10,0.00349711488022,8.71080522128,11.1290159831,0.0591364090914,0.151787718445,4.329128469,4.81911150031,-5.65581697036
57,"Davenport, FL",18.4747422179,2888.0,-81.6017417,28.1614046,69.1738013575,10,0.00346260387812,4.29822547313,8.31707889571,0.0588438941447,0.151286765235,2.91640451371,4.23662219784,-5.66573440702
58,"Newburgh, IN",15.1601176237,3284.54545455,-87.4006397091,37.9360034545,78.5442251169,11,0.00334901743703,3.89359957157,8.86251798965,0.0578706958402,0.149614081103,2.718668139,4.36366184344,-5.69908827854
59,"Carolina Beach, NC",26.1930158319,5419.5,-77.8945652389,34.0352975056,8.50457189404,18,0.00332133960697,5.11791127628,2.91625991538,0.0576310646004,0.149200780431,3.26549280393,2.14060388878,-5.70738708136
60,"Buckley, WA",13.0814911367,3929.53846154,-121.940682969,47.0259328769,33.0906253751,13,0.00330827656409,3.61683440825,5.75244516489,0.0575176195969,0.149004917996,2.57119834081,3.49925002097,-5.71132790069
61,"Corydon, IN",33.9451468909,3040.6,-86.11922117,38.22217853,33.3173705939,10,0.0032888245741,5.8262463809,5.77212011257,0.0573482743777,0.148712304254,3.52474589506,3.50607890044,-5.71722505035
62,"Indialantic, FL",7.95159728136,2744.88888889,-80.5656079,28.0894599,17.8672152697,9,0.00327882124352,2.81985767041,4.22696288956,0.0572609923379,0.148561376051,2.07337282438,2.88296748433,-5.72027129815
63,"Whitefish, MT",12.5774728245,5620.72222222,-114.3346265,48.4107966,244.683948307,18,0.00320243543238,3.54647329392,15.6423766835,0.0565900647851,0.147398634672,2.53190734274,5.49996737086,-5.74384368603
64,"North Bend, WA",32.269108232,5029.0625,-121.7862491,47.4938343,64.0138010216,16,0.00318150748773,5.68059048269,8.00086251735,0.0564048534058,0.147076848888,3.4741103711,4.15909870108,-5.75040014177
65,"Gulf Breeze, FL",13.1126820205,5714.0,-87.157993,30.3518970222,14.0648455901,18,0.00315015750788,3.6211437448,3.75031273231,0.0561262639757,0.146592164131,2.57357985508,2.64367846357,-5.76030282489
66,"Leesburg, GA",21.9780518234,2866.77777778,-84.1707423,31.7321156,22.8734932498,9,0.00313941320104,4.6880754925,4.78262409664,0.0560304667216,0.146425312659,3.09004431099,3.12997874013,-5.76371937518
67,"Prineville, OR",5.67003946143,7686.58333333,-120.801820871,44.1620854167,17.1922312787,24,0.00312232352909,2.38118446607,4.14635156236,0.055877755226,0.146159136064,1.7351960774,2.84445761194,-5.76917783346
68,"Attica, NY",20.6898009591,2575.0,-78.2802946,42.8642267,60.1854435384,8,0.0031067961165,4.54860428693,7.75792778636,0.0557386411433,0.145916448669,3.02964087156,4.09743052139,-5.77416327142
69,"Moab, UT",27.0859140604,4831.93333333,-109.58361989,38.56685122,58.0734588307,15,0.00310434746616,5.204412941,7.62059438828,0.0557166713486,0.145878103456,3.29901381639,4.06170874074,-5.77495174151
70,"Taos, NM",85.7289699237,5476.94117647,-105.5730665,36.4072485,175.018794165,17,0.00310392232676,9.25899400171,13.2294668889,0.0557128560277,0.145871443832,4.45119080726,5.16489336339,-5.77508870057
71,"Summersville, WV",59.8514287032,3546.72727273,-80.8601683636,38.2791349,65.2962343718,11,0.00310145076127,7.73637051228,8.0806085397,0.0556906703252,0.145832715784,4.09186530312,4.17893436803,-5.77588528946
72,"Litchfield Park, AZ",5.17323347807,4920.66666667,-112.357477694,33.4943508867,5.61551280853,15,0.00304836742989,2.27447433005,2.3697073255,0.0552120225122,0.144995916332,1.64349792398,1.72553291234,-5.79314910056
73,"Springville, NY",38.0466072605,4285.84615385,-78.6496843846,42.4616009,80.2765789608,13,0.00303324000287,6.16819319254,8.9597198037,0.0550748581739,0.144755672608,3.63881191504,4.38547790918,-5.79812392288
74,"Grandview Heights, OH",8.25382389184,6611.85,-83.022976455,40.01531657,12.1435356433,20,0.0030248720101,2.87294690028,3.48475761615,0.0549988364432,0.144622434438,2.110676595,2.49679698238,-5.8008864991
75,"Sandpoint, ID",59.2594481761,6302.68421053,-116.552955237,48.2726865421,103.25859221,19,0.00301458860469,7.69801585969,10.1616235027,0.0549052693709,0.144458361421,4.08192523019,4.63723644591,-5.80429190764
76,"Wildwood Crest, NJ",7.4685871522,3341.0,-74.8335015,38.9748351,57.5557050623,10,0.00299311583358,2.73287159453,7.58654763791,0.054709376103,0.144114553805,2.010705845,4.05275326253,-5.81144034936
77,"Sequim, WA",22.4867273267,6027.72222222,-123.1096706,48.0849312,28.6442678979,18,0.00298620263781,4.74201722126,5.35203399633,0.0546461584909,0.14400351454,3.11292523856,3.35495334977,-5.81375271954
78,"Naples, FL",2.27589204132,19804.7457627,-81.7948103,26.1420358,157.97563942,59,0.00297908393811,1.50860599274,12.5688360408,0.0545809851332,0.143888995247,0.822372081624,5.06244084025,-5.81613942904
79,"Chatsworth, GA",0.181346666757,4043.0,-84.8258174935,34.722324125,20.5602264573,12,0.00296809300025,0.425848173363,4.53433859094,0.0544802074174,0.143711824019,-1.70734479359,3.02335845499,-5.81983561985
80,"Wickenburg, AZ",6.35158887127,5744.52941176,-112.708823776,33.9460149118,57.7125742362,17,0.00295933727229,2.52023587612,7.59687924323,0.0543997911052,0.14357037057,1.84870499755,4.05547507414,-5.82278993021
81,"Claxton, GA",43.798954678,2746.0,-81.898814025,32.1613918875,40.9493778539,8,0.00291332847779,6.61807786884,6.39917009103,0.053975258015,0.142822451952,3.7796099513,3.71233661736,-5.83845904465
82,"Lewisburg, WV",12.295378744,3790.18181818,-80.4490053818,37.9032160545,93.5150373617,11,0.00290223544085,3.50647668522,9.67031733511,0.0538723996203,0.142640947086,2.50922347991,4.53812225076,-5.84227399726
83,"Parker, AZ",44.1232275641,3102.0,-114.294426633,34.1565592667,112.131732056,9,0.00290135396518,6.64253171344,10.5892271699,0.0538642178555,0.142626504511,3.78698634593,4.71967435921,-5.8425777664
84,"Yelm, WA",15.448409783,5187.13333333,-122.606575113,46.94208472,15.2669449795,15,0.00289177066331,3.93044651191,3.90729381791,0.0537751863159,0.14246929739,2.73750607138,2.72569003238,-5.84588627821
85,"Lewes, DE",1.89040474819,2770.125,-75.1484266625,38.7812786,49.8343836413,8,0.00288795631966,1.3749199061,7.0593472532,0.0537397089652,0.142406629215,0.636790958626,3.90870518035,-5.84720618284
86,"Mukwonago, WI",8.36394620407,7009.0,-88.330580085,42.86511091,36.474710943,20,0.00285347410472,2.89204879006,6.0394296869,0.0534179193223,0.141837579696,2.1239303497,3.59661916958,-5.85921804295
87,"Cocoa Beach, FL",6.30020287869,11647.1515152,-80.645222455,28.2977138182,5.90907120799,33,0.00283331078479,2.51002049368,2.43085812173,0.0532288529352,0.14150270377,1.84058183585,1.77648866306,-5.86630936249
88,"Tinley Park, IL",16.5527045996,49428.4071429,-87.7844944,41.5733669,37.9664338049,140,0.00283237935617,4.06850151771,6.16169082354,0.0532201029328,0.141487196104,2.80654950839,3.63670244844,-5.86663815867
89,"Port Orchard, WA",3.52023111382,9181.57692308,-122.6384056,47.5315625,3.2647311499,26,0.00283175757474,1.87622789496,1.80685670431,0.0532142610091,0.141476841965,1.25852664479,1.18317741628,-5.86685770895
90,"Covington, KY",2.32495936707,42779.3966942,-84.5122345198,39.1004432116,79.3944633697,121,0.0028284643859,1.52478174408,8.9103570843,0.0531833092793,0.141421977254,0.843702562358,4.37442863496,-5.86802133442
91,"Morrisville, PA",2.66767417973,8883.4,-74.99501722,40.208434924,27.1911464932,25,0.00281423779184,1.63330161934,5.21451306386,0.0530493901175,0.141184470786,0.981206999055,3.30289142374,-5.87306382072
92,"Oakridge, OR",93.7722925489,3198.66666667,-122.401095411,43.4156704556,120.777790466,9,0.00281367236348,9.68360947937,10.9898949252,0.0530440605863,0.141175014697,4.54086942377,4.79395241484,-5.87326475796
93,"Bastrop, TX",35.3535302117,6056.29411765,-97.3152701,30.1104947,9.31815415851,17,0.00280699709587,5.94588346772,3.05256517678,0.0529811013086,0.141063283229,3.5653982519,2.23196455742,-5.8756400162
94,"Jonesboro, GA",14.5415294152,4315.25,-84.3555989667,33.5211661667,11.434118312,12,0.0027808354093,3.81333573334,3.38143731452,0.0527336269311,0.140623670097,2.67700865331,2.43660172017,-5.88500388948
95,"Fort Edward, NY",8.5100994449,3271.0,-73.5842289444,43.2471031333,28.2581357392,9,0.0027514521553,2.91720747375,5.31583819724,0.0524542863387,0.140126622777,2.14125362817,3.3413814069,-5.8956264502
96,"Arlington, WA",30.5398117319,12725.0285714,-122.1389548,48.1810957,22.1421427063,35,0.00275048498347,5.52628371801,4.70554382684,0.0524450663406,0.140110202065,3.41903113513,3.09748270247,-5.89597802523
97,"Comanche, TX",26.9871734568,4408.5,-98.681600125,31.9276693833,116.63666033,12,0.00272201429058,5.19491804139,10.7998453845,0.0521729267971,0.139625090293,3.29536169597,4.75906363556,-5.90638312474
98,"Sykesville, MD",31.1730640429,4436.0,-76.970990925,39.3633921,35.3612483065,12,0.00270513976555,5.58328434194,5.94653246073,0.0520109581296,0.139335967069,3.43955438997,3.56561653993,-5.91260169868
99,"Libby, MT",96.4558559768,2613.71428571,-115.692015029,48.4483610714,170.183804585,7,0.00267818102317,9.82119422356,13.0454514903,0.0517511451388,0.138871558511,4.56908545266,5.13687905641,-5.92261743759
100,"Maybrook, NY",4.86633723054,3017.25,-74.2288991,41.476829925,9.80330482391,8,0.00265142099594,2.20597761334,3.13102296764,0.0514919507879,0.138407480703,1.5823415454,2.28271955576,-5.93265955782
101,"Towanda, PA",49.2103490931,3021.125,-76.461673025,41.6958788125,73.5041774062,8,0.00264802019115,7.01500884483,8.57345772756,0.0514589175086,0.138348279968,3.8961039488,4.29734224006,-5.93394301588
102,"Seaside, OR",18.5945756062,6424.23529412,-123.920213,45.993246,13.6370747242,17,0.00264622935209,4.31214280911,3.69284100987,0.0514415138977,0.138317084917,2.92286990411,2.61279216638,-5.93461953825
103,"Tuckerton, NJ",25.985917021,3422.55555556,-74.3453444133,39.6177300556,13.278020544,9,0.00262961399864,5.09763837684,3.64390182963,0.0512797620766,0.138026984827,3.25755473824,2.58611007752,-5.94091821214
104,"Bethel, OH",19.3926845336,2668.71428571,-84.0807664,38.9636771,94.549875048,7,0.00262298592152,4.40371258526,9.72367600489,0.0512150946648,0.137910919222,2.96489590906,4.54912747356,-5.94344194543
105,"Crescent City, CA",3.94141986973,6102.625,-124.2025913,41.7557501,208.964310022,16,0.00262182257635,1.98530095193,14.4555978784,0.0512037359609,0.137890527484,1.37154103142,5.34216347194,-5.94388556323
