,CityST,lon,pop,AirportDist,lat,BaseDist,count,per_capita_sum,per_capita_avg,sqrt_airport,sqrt_base,sqrt_per_capita,cubert_per_capita,log_airport,log_base,log_per_capita
0,"Surfside Beach, SC",-78.9732753263,3898.89473684,9.18746679641,33.6063700947,7.5122321515,38,0.00976504419501,0.0097463518676,3.03108343607,2.74084515278,0.09881823817,0.213742755757,2.21784025054,2.01653264552,-4.6289461888
1,"Shallotte, NC",-78.3270253156,3675.0,12.2659882867,33.9266778531,31.6888309498,32,0.0087074829932,0.0087074829932,3.50228329618,5.62928334247,0.0933138949632,0.205729961572,2.50683025226,3.45596428283,-4.74357250885
2,"Myrtle Beach, SC",-78.8910137799,26351.03125,3.95932372276,33.6952582634,5.8200152088,224,0.00854079538173,0.0085006160812,1.98980494591,2.41247076849,0.0924164237662,0.204408729598,1.3760732336,1.76130287494,-4.76290113948
3,"Mount Vernon, KY",-84.4995866818,2597.63636364,9.59575868918,38.0397508364,45.9126589434,22,0.00846962888535,0.0084692377686,3.09770216276,6.7758880557,0.0920305866837,0.20383939754,2.26132119764,3.82674087302,-4.77126858647
4,"North Myrtle Beach, SC",-78.6788575241,13528.7678571,4.08587777608,33.8227485571,29.3892712044,112,0.0083099399469,0.00827865487698,2.02135543042,5.42118725045,0.0911588720142,0.202550177654,1.40753658309,3.38062968272,-4.79030289675
5,"Sunset Beach, NC",-78.4502744828,3572.0,1.82568576386,33.8905844586,43.1279730532,29,0.00811870100784,0.00811870100784,1.35117939736,6.56718912878,0.0901038345901,0.200984322662,0.601955677473,3.76417181334,-4.81358511201
6,"Live Oak, CA",-121.995726714,7569.10204082,40.0378130851,37.0028345247,45.4347059919,49,0.00704454844211,0.0064736873325,6.32754400104,6.74052713012,0.0839318082857,0.191698060957,3.6898243347,3.81627626217,-4.95550123191
7,"Nags Head, NC",-75.6188869632,2748.0,8.09612760569,35.9465791789,34.0810135008,19,0.00691452061419,0.00691411935953,2.84536950249,5.837894612,0.0831535965199,0.190511278663,2.09138587399,3.52874044039,-4.97413164176
8,"Lawrenceburg, IN",-84.8529215406,4847.34375,16.7287854292,39.0924261875,50.2390062548,32,0.00661585114442,0.00660155368597,4.09008379244,7.08794795796,0.0813378825912,0.187727793253,2.81713091399,3.916791742,-5.01828682085
9,"Apache Junction, AZ",-111.571716888,33533.4019139,13.44957584,33.4279795742,41.3678813864,209,0.00647509946183,0.0062325916272,3.66736633567,6.43178679578,0.0804680027205,0.186386941247,2.59894756949,3.72250476781,-5.03979131061
10,"Cumming, GA",-84.1399976529,5323.23529412,28.4170922818,34.2081428176,47.0930503525,34,0.006419924415,0.00638709320957,5.33076845134,6.86243763924,0.0801244308248,0.185856022381,3.34699080504,3.85212543923,-5.04834893471
11,"Estacada, OR",-122.258694147,2456.66666667,45.211310166,45.1951171667,55.4117689057,15,0.00627802833836,0.00610583446404,6.72393561584,7.44390817419,0.0792340099854,0.184476517095,3.81134728045,4.01479200631,-5.07069930666
12,"Johnson, AR",-94.2098667223,3354.0,12.3619429128,36.111508,80.0427028474,21,0.00626118067979,0.00626118067979,3.51595547651,8.94665875327,0.0791276227356,0.184311349437,2.51462263327,4.38256027785,-5.07338650466
13,"Louisburg, NC",-78.28991445,3302.0,44.981391902,36.10094945,89.7617212313,20,0.00606474713664,0.00605693519079,6.70681682335,9.47426626348,0.0778764864169,0.182363351882,3.80624889096,4.49715861752,-5.10526242968
