,state,year,count
0,AK,1949,2
1,AK,1954,1
2,AK,1969,5
3,AK,1972,1
4,AK,1975,1
5,AK,1976,1
6,AK,1978,1
7,AK,1980,1
8,AK,1981,1
9,AK,1982,1
10,AK,1983,1
11,AK,1985,2
12,AK,1986,1
13,AK,1987,2
14,AK,1988,1
15,AK,1989,1
16,AK,1990,1
17,AK,1993,1
18,AK,1995,2
19,AK,1996,2
20,AK,1997,4
21,AK,1998,6
22,AK,1999,7
23,AK,2000,8
24,AK,2001,5
25,AK,2002,4
26,AK,2003,10
27,AK,2004,8
28,AK,2005,14
29,AK,2006,10
30,AK,2007,3
31,AK,2008,9
32,AK,2009,11
33,AK,2010,8
34,AK,2011,12
35,AK,2012,36
36,AK,2013,39
37,AK,2014,30
38,AK,2015,19
39,AL,1956,1
40,AL,1957,1
41,AL,1964,1
42,AL,1966,1
43,AL,1968,2
44,AL,1971,1
45,AL,1975,2
46,AL,1978,1
47,AL,1979,1
48,AL,1980,1
49,AL,1982,1
50,AL,1983,1
51,AL,1985,1
52,AL,1987,2
53,AL,1989,1
54,AL,1992,1
55,AL,1993,2
56,AL,1994,1
57,AL,1995,5
58,AL,1996,2
59,AL,1997,4
60,AL,1998,4
61,AL,1999,8
62,AL,2000,7
63,AL,2001,5
64,AL,2002,6
65,AL,2003,17
66,AL,2004,15
67,AL,2005,18
68,AL,2006,12
69,AL,2007,25
70,AL,2008,34
71,AL,2009,22
72,AL,2010,17
73,AL,2011,19
74,AL,2012,29
75,AL,2013,47
76,AL,2014,63
77,AL,2015,14
78,AR,1957,1
79,AR,1962,1
80,AR,1965,1
81,AR,1966,3
82,AR,1967,5
83,AR,1968,2
84,AR,1969,3
85,AR,1970,1
86,AR,1971,1
87,AR,1973,1
88,AR,1975,1
89,AR,1976,2
90,AR,1977,3
91,AR,1979,2
92,AR,1980,2
93,AR,1981,1
94,AR,1982,2
95,AR,1984,1
96,AR,1985,1
97,AR,1986,2
98,AR,1987,1
99,AR,1988,3
100,AR,1989,2
101,AR,1990,1
102,AR,1991,1
103,AR,1993,1
104,AR,1996,4
105,AR,1997,4
106,AR,1998,6
107,AR,1999,13
108,AR,2000,14
109,AR,2001,12
110,AR,2002,11
111,AR,2003,27
112,AR,2004,22
113,AR,2005,18
114,AR,2006,21
115,AR,2007,24
116,AR,2008,28
